start_timestamp_utc,end_timestamp_utc,start_timestamp_local,end_timestamp_local,driver_uuid,city_id,minutes_online,minutes_active,dispatches,rejections,accepts,expireds,driver_cancellations,rider_cancellations,completed_trips,trip_fares,driver_adjusted_fares,flow_type,partner_uuids,vehicle_uuids,minutes_on_trip
2020-01-01 00:03:34.000,2020-01-01 00:39:34.000,2020-01-01 01:03:34.000,2020-01-01 01:39:34.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,36.0,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 01:01:45.000,2020-01-01 03:14:49.000,2020-01-01 02:01:45.000,2020-01-01 04:14:49.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,133.06666666666666,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 07:58:01.000,2020-01-01 09:48:25.000,2020-01-01 08:58:01.000,2020-01-01 10:48:25.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,110.4,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 10:20:21.000,2020-01-01 10:35:28.000,2020-01-01 11:20:21.000,2020-01-01 11:35:28.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,15.116666666666667,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 11:08:28.000,2020-01-01 12:10:14.000,2020-01-01 12:08:28.000,2020-01-01 13:10:14.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,61.766666666666666,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 16:28:19.000,2020-01-01 16:30:14.000,2020-01-01 17:28:19.000,2020-01-01 17:30:14.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,1.9166666666666667,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 16:48:48.000,2020-01-01 17:26:16.000,2020-01-01 17:48:48.000,2020-01-01 18:26:16.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,37.46666666666667,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 17:41:28.000,2020-01-01 19:03:48.000,2020-01-01 18:41:28.000,2020-01-01 20:03:48.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,82.33333333333333,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 19:36:59.000,2020-01-01 22:32:46.000,2020-01-01 20:36:59.000,2020-01-01 23:32:46.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,175.78333333333333,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
2020-01-01 23:19:26.000,2020-01-02 00:07:14.000,2020-01-02 00:19:26.000,2020-01-02 01:07:14.000,n5ihp00g-n3nq-jckc-hvor-jj1ersm7h7p8,355,47.8,0,0,0,0,0,0,0,0,0,0,UberX,"""[""""6kyhgmu4-otky-gn6c-eivf-iosjptidztvd""""]""","""[""""9lshvtgc-0w1t-x3ws-4y4u-it9ufq1ezgj9""""]""",0
